  real distance              measured distance                          Err_r
============================================================================
              1                             32                             31
              2                              1                              1
              3                              2                              1
              4                              3                              1
              5                              4                              1
              6                              5                              1
              7                              6                              1
              8                              7                              1
              9                              8                              1
             10                              9                              1
             11                             10                              1
             12                             11                              1
             13                             12                              1
             14                             13                              1
             15                             14                              1
             16                             15                              1
             17                             16                              1
             18                             17                              1
             19                             18                              1
             20                             19                              1
             21                             20                              1
             22                             21                              1
             23                             22                              1
             24                             23                              1
             25                             24                              1
             26                             25                              1
             27                             26                              1
             28                             27                              1
             29                             28                              1
             30                             29                              1
             31                             30                              1
             32                             31                              1


    real velocy                measured velocy                          Err_v
============================================================================
            -63                             64                            127
            -62                            -63                              1
            -61                            -62                              1
            -60                            -61                              1
            -59                            -60                              1
            -58                            -58                              0
            -57                            -57                              0
            -56                            -56                              0
            -55                            -55                              0
            -54                            -54                              0
            -53                            -53                              0
            -52                            -52                              0
            -51                            -51                              0
            -50                            -50                              0
            -49                            -50                              1
            -48                            -49                              1
            -47                            -48                              1
            -46                            -47                              1
            -45                            -46                              1
            -44                            -45                              1
            -43                            -44                              1
            -42                            -43                              1
            -41                            -42                              1
            -40                            -41                              1
            -39                            -40                              1
            -38                            -39                              1
            -37                            -38                              1
            -36                            -36                              0
            -35                            -35                              0
            -34                            -34                              0
            -33                            -33                              0
            -32                            -32                              0
            -31                            -31                              0
            -30                            -30                              0
            -29                            -29                              0
            -28                            -28                              0
            -27                            -27                              0
            -26                            -26                              0
            -25                            -25                              0
            -24                            -24                              0
            -23                            -23                              0
            -22                            -22                              0
            -21                            -21                              0
            -20                            -20                              0
            -19                            -19                              0
            -18                            -18                              0
            -17                            -17                              0
            -16                            -16                              0
            -15                            -15                              0
            -14                            -14                              0
            -13                            -13                              0
            -12                            -12                              0
            -11                            -11                              0
            -10                            -10                              0
             -9                             -9                              0
             -8                             -8                              0
             -7                             -7                              0
             -6                             -6                              0
             -5                             -5                              0
             -4                             -4                              0
             -3                             -3                              0
             -2                             -2                              0
             -1                             -1                              0
              0                              0                              0
              1                              1                              0
              2                              2                              0
              3                              3                              0
              4                              4                              0
              5                              5                              0
              6                              6                              0
              7                              7                              0
              8                              8                              0
              9                              9                              0
             10                             10                              0
             11                             11                              0
             12                             12                              0
             13                             13                              0
             14                             14                              0
             15                             15                              0
             16                             16                              0
             17                             17                              0
             18                             18                              0
             19                             19                              0
             20                             20                              0
             21                             21                              0
             22                             22                              0
             23                             23                              0
             24                             24                              0
             25                             25                              0
             26                             26                              0
             27                             27                              0
             28                             28                              0
             29                             29                              0
             30                             30                              0
             31                             31                              0
             32                             32                              0
             33                             33                              0
             34                             34                              0
             35                             35                              0
             36                             36                              0
             37                             38                              1
             38                             39                              1
             39                             40                              1
             40                             41                              1
             41                             42                              1
             42                             43                              1
             43                             44                              1
             44                             45                              1
             45                             46                              1
             46                             47                              1
             47                             48                              1
             48                             49                              1
             49                             50                              1
             50                             51                              1
             51                             51                              0
             52                             52                              0
             53                             53                              0
             54                             54                              0
             55                             55                              0
             56                             56                              0
             57                             57                              0
             58                             58                              0
             59                             59                              0
             60                             61                              1
             61                             62                              1
             62                             63                              1
             63                             64                              1
             64                            -63                            127
