  real distance              measured distance                          Err_r
============================================================================
              1                              3                              2
              4                              6                              2
              7                              9                              2
             10                             12                              2
             13                             15                              2
             16                             18                              2
             19                             21                              2
             22                             24                              2
             25                             27                              2
             28                             30                              2
             31                             33                              2
             34                             36                              2
             37                             39                              2
             40                             42                              2
             43                             45                              2
             46                             48                              2


    real velocy                measured velocy                          Err_v
============================================================================
            -45                            -45                              0
            -42                            -42                              0
            -39                            -39                              0
            -36                            -36                              0
            -33                            -33                              0
            -30                            -30                              0
            -27                            -27                              0
            -24                            -24                              0
            -21                            -21                              0
            -18                            -18                              0
            -15                            -15                              0
            -12                            -12                              0
             -9                             -9                              0
             -6                             -6                              0
             -3                             -3                              0
              0                              0                              0
              3                              3                              0
              6                              6                              0
              9                              9                              0
             12                             12                              0
             15                             15                              0
             18                             18                              0
             21                             21                              0
             24                             24                              0
             27                             27                              0
             30                             30                              0
             33                             33                              0
             36                             36                              0
             39                             39                              0
             42                             42                              0
             45                             45                              0
             48                             48                              0
